epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.4107,1.75213,6.60661,2.12694,0.28761,0.00255,0.00297,0.00218,1.25793,5.90269,2.03493,0.00022848,0.00022848,0.00022848
2,167.151,1.26793,5.24539,1.84055,0.38255,0.01196,0.01144,0.00772,1.16937,4.78808,2.03208,0.000462244,0.000462244,0.000462244
3,234.962,1.16984,4.01913,1.80905,0.46583,0.03845,0.042,0.03256,1.05527,3.71256,1.91277,0.000694122,0.000694122,0.000694122
4,300.654,1.05339,3.35569,1.77325,0.3986,0.09699,0.12123,0.0975,1.0254,3.2684,1.85574,0.000705432,0.000705432,0.000705432
5,367.312,1.03973,2.9521,1.77517,0.45911,0.15642,0.21484,0.17702,0.96272,2.91251,1.83362,0.000702576,0.000702576,0.000702576
6,432.985,1.02113,2.57701,1.74786,0.48676,0.22149,0.27928,0.22934,0.92755,2.56485,1.85288,0.00069972,0.00069972,0.00069972
7,498.906,0.9538,2.20036,1.7384,0.56813,0.28928,0.35672,0.29146,0.92621,2.37975,1.87385,0.000696864,0.000696864,0.000696864
8,563.694,0.93786,1.92615,1.69664,0.54568,0.3689,0.45116,0.36989,0.9049,2.14803,1.8517,0.000694008,0.000694008,0.000694008
9,628.903,0.92746,1.77352,1.68752,0.60871,0.40624,0.50489,0.41256,0.90387,1.98247,1.87602,0.000691152,0.000691152,0.000691152
10,692.913,0.88624,1.55027,1.64482,0.62599,0.41862,0.52251,0.42177,0.91699,1.91142,1.80849,0.000688296,0.000688296,0.000688296
11,757.379,0.89535,1.45104,1.62379,0.5742,0.49382,0.5915,0.4828,0.87644,1.71778,1.7781,0.00068544,0.00068544,0.00068544
12,822.402,0.86631,1.35614,1.67157,0.56577,0.51552,0.61391,0.50131,0.87162,1.73107,1.81831,0.000682584,0.000682584,0.000682584
13,886.438,0.8503,1.26987,1.62958,0.55618,0.56994,0.63189,0.51628,0.87212,1.61869,1.81169,0.000679728,0.000679728,0.000679728
14,950.867,0.85747,1.20815,1.64456,0.60592,0.55604,0.66023,0.54616,0.85248,1.54357,1.77196,0.000676872,0.000676872,0.000676872
